country,countryX,countryY,countryWidth,titleX,titleY
Anguilla,171.6,174,no,193.33,141.49
Antigua and Barbuda,174,177.1,no,234.98,166.37
Aruba,152,190.5,no,132.45,198.32
Bahamas,140.6,157.47,13.41,105.13,143.79
Bahrain,456.1,149.3,no,455.83,159.47
Barbados,178.2,189,no,226.65,196.39
Belize,105.26,177.09,4.139,90.1,177.07
Bermuda,171.3,127.1,2.2,172.91,121.42
Cape Verde,274.7,180.5,no,276.26,185.85
Cayman Islands,126.7,168.6,no,82.77,164.75
Comoros,440.9,261.2,no,458.91,256.43
Cook Islands,819.77,280.56,no,818.13,291.02
Cuba,129.85,164.25,26.48,94.68,153.56
Curaçao﻿,156.6,192,no,146.21,207.84
Dominica,174,182.2,no,222.85,181.38
Dominican Republic,152.45,172.43,9.13,121.5,121.9
Fiji,782.96,277.81,9.05,776.22,270.52
Grenada,174.3,191.9,no,216.29,210.85
Guinea-Bissau,291.2,192.68,7.82,291.34,198.98
Guyana,177.45,212.72,12.3,159.88,221.24
Haiti,144.88,171.43,7.3,131.17,142.27
Jamaica,134.29,174.25,5.4,132.24,178.52
Kiribati,776.8,222.8,no,792.73,225.52
Maldives,503.3,215.9,no,522.06,212.49
Marshall Islands,748,211.4,no,779.27,208.38
Mauritius,470.4,288.7,no,489.38,292.27
Micronesia,731.2,205.3,no,707.08,208.83
Montserrat,172.4,179,no,224.98,174.18
Nauru,754.1,222.3,no,739.57,222.93
Niue,801.6,280.5,no,803.4,275.6
Papua New Guinea,710.63,246.07,39.28,695.38,227.83
Palau,674.6,204.4,no,674.18,199.17
Saint Lucia,175,186.5,no,224.32,188.58
Samoa,807.7,266.2,no,806.6,260.31
Sao Tome and Principe,346.6,225.9,no,321.98,226.21
Seychelles,473.5,238.7,no,495.42,240.24
Singapore,597.4,223.5,no,599.59,215.22
Sint Maarten,171.6,174,no,212.48,149.81
Solomon Islands,743.78,253.99,25.42,747.13,242.97
St. Kitts and Nevis,171.2,177,no,226.89,157.92
St. Vincent and the Grenadines,174.3,191.9,no,222.78,205.82
Suriname,185.98,215.57,10.36,201.12,225.3
Timor-Leste,651.63,253.05,8.89,653.77,260.93
Tokelau,810.89,251.21,no,816.57,244.83
Tonga,796.9,289.1,no,728.28,292.27
Trinidad and Tobago,173.4,196.6,no,233.99,218.76
Turks and Caicos,148,158.04,no,113.73,133.52
Tuvalu,786.6,251.4,no,786.66,244.83
Vanuatu,756.52,276.53,5.13,738.25,276.85
British Virgin Islands,166.8,173.5,2.2,193.93,135.48
