Country,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Sum,Average
American Samoa,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,136,113,202,193,183,148,153,112,112,152,118,181,78,123,102,42,45,55,35,127,171,220,443,605,549,846,3667,6939,5089,4041,4019,5349,6519,4424,4944,5310,4901,6109,3273,2579,3138,3181,4042,4043,86993,1260.768116
Antigua and Barbuda,28,100,100,200,200,200,300,400,600,800,700,600,800,800,800,700,800,800,800,800,800,900,900,1200,1500,1590,1601,1613,1821,1620,1219,1171,1157,950,1063,1465,2407,2400,1985,1488,990,875,1481,1692,1046,1095,1576,1434,1639,1675,1626,1723,1797,2343,2541,2473,2948,3044,3042,3389,2416,2219,3055,5951,4605,3114,3165,3165,3165,3166,111800,1620.289855
Bahamas,44,600,1000,700,1100,1500,1700,1600,1500,1500,1700,1600,1500,1600,1700,1900,2950,3800,2950,2750,2350,2750,2950,3300,4400,4663,4693,4750,5327,5114,5765,7119,7631.789,7737.039,8548.154,8430.066,11164.818,8653.899,10520.03,10464.669,9788.611,9709.181,11889.544,12205.532,13695.944,14927.016,13245.483,14099.144,14719.592,14577.685,13667,15527,13671,15675,16724,15164,15555,16242,10912,14813,13809.83,16342.44,15313,16756.829,12765,11878.22,11307.29,11625,11479.94,11480.94,569547.685,8254.314275
Bahrain,48,800,800,900,900,1000,1000,1000,1200,1200,1200,1500,1500,1500,1800,1800,2000,2500,2800,3000,3300,3500,3600,3700,3800,3900,4000,4084,4837,4000,3801,5115,5747,5594,4812,5599,7763,8057,7842,6736,9207,8105,7553,7983,8958,7628,9389,12940,10050,9849,10620,11718,11230,11204,13638,14489,11855,15593,15013,14176,16356,13490,9915,27091,14976,15854,15000,15000,15000,15001,507068,7348.811594
Barbados,52,3013,3013,4513,3713,2813,2813,3213,4113,4513,4413,5213,4613,4713,2813,2113,2613,4813,4613,3213,3013,2313,2313,2313,2613,2668,4223,4952,3188,3597,4267,3747,3423,3492,6534,5784,3832,4112,3610,8939,2585,3029,2292,3585,3225,2829,3592,3523,2820,3655,3281,3185,2731,2530,2849,2159,2193,1986,2235,3562,3507,3280,1818,1361,2976,2207,1500,1736,1695,1696,229402,3324.666667
Bermuda,60,500,500,400,500,500,400,400,450,450,500,500,500,400,400,450,450,500,500,550,550,900,2380,2820,3220,3599,4572,7208,7635,8723,6347,4105,2024,2348,927,538,670,820,821,773,774,463,428,432,404,394,449,465,461,466,453,290,309,397,363,386,401,381,425,401,416,375,478,516,461,417,407,410,384,385,82621,1197.405797
Belize,84,400,400,400,500,600,500,600,600,900,1000,900,600,800,900,900,800,900,1300,1300,1600,1500,1800,1900,1600,1618,1603,1613,3082,2808,2554,2066,2252,2288,2641,2672,2427,1838,2059,2151,1770,2033,2521,2414,3971,7670,9719,12168,24788,26600,51827,30322,30746,84360,43358,70046,100507,185773,305645,364274,304217,399928,277415,171946,34673,76190,97524,91431,121299,121300,3112807,45113.14493
Solomon Islands,90,1000,1000,2000,2000,3000,3000,3000,3000,4000,4000,4000,4000,5000,5000,5300,5300,7300,7400,7400,7400,8500,13511,17005,15924,19676,16940,26284,22863,29192,35431,34866,34728,32518,46014.595,48801.739,43362.996,56743.386,43556.214,51602.071,50145.789,41404.354,63005.777,47107.71,43623.037,47509.296,64181.402,52445.45,61289.496,60726.594,54557.598,19564.332,24538.361,26252.545,36699.22,35045.671,30171.14,39525.66,32150.18,27457.7,28652.598,37544.657,38720.16,38892.074,36708.884,73734.31,72996.988,65994.356,56892,56893,2046049.34,29652.88899
British Virgin Islands,92,100,100,100,200,200,200,200,300,300,300,300,400,400,400,400,400,400,300,300,300,300,300,300,300,306,318,330,340,350,360,370,380,390,407,470,520,543,565,582,615,624,634,453,343,470,532,506,105,116,115,43,837,1062,2771,1262,1295,1308,1251,1202,1201,1201,1200,1196,1203,1205,1200,1192,1192,1193,40558,587.7971014
Cabo Verde,132,900,800,1000,1400,1700,1600,1300,1300,1700,1500,1600,1600,1500,2000,2500,3500,4000,5900,4900,4000,5181,4153,4078,8333,3428,3900,3800,6000,7000,7476,8837,14730,12453,11863,10730,10190,7335,7312,6387,8614,6579.04,7378.1,6573,7000,8256,8495,9255,9705,9424,10360,10586,8676,8851,8136,11031,21931,19826,20127,21119,19213,21412,23077,20943,35984,35677,37744,27397,18697,18698,668650.14,9690.581739
