COUNTRY,YEAR,QUANTITY
4,1950,100.0
4,1951,100.0
4,1952,100.0
4,1953,100.0
4,1954,100.0
4,1955,200.0
4,1956,200.0
4,1957,200.0
4,1958,200.0
4,1959,200.0
4,1960,200.0
4,1961,300.0
4,1962,300.0
4,1963,300.0
4,1964,300.0
4,1965,300.0
4,1966,300.0
4,1967,400.0
4,1968,400.0
4,1969,400.0
4,1970,400.0
4,1971,500.0
4,1972,500.0
4,1973,500.0
4,1974,500.0
4,1975,600.0
4,1976,600.0
4,1977,600.0
4,1978,600.0
4,1979,600.0
4,1980,700.0
4,1981,700.0
4,1982,700.0
4,1983,800.0
4,1984,800.0
4,1985,800.0
4,1986,800.0
4,1987,1000.0
4,1988,1000.0
4,1989,1000.0
4,1990,1100.0
4,1991,1100.0
4,1992,1200.0
4,1993,1200.0
4,1994,1300.0
4,1995,1300.0
4,1996,1300.0
4,1997,1250.0
4,1998,1200.0
4,1999,1200.0
4,2000,1000.0
4,2001,800.0
4,2002,900.0
4,2003,900.0
4,2004,1000.0
4,2005,1000.0
4,2006,1000.0
4,2007,1000.0
4,2008,1000.0
4,2009,1000.0
4,2010,1000.0
4,2011,1150.0
4,2012,1300.0
4,2013,1450.0
4,2014,1600.0
4,2015,1750.0
4,2016,1900.0
4,2017,2000.0
4,2018,2050.0
8,1950,1500.0
8,1951,1600.0
8,1952,2100.0
8,1953,2500.0
8,1954,2400.0
8,1955,2600.0
8,1956,2500.0
8,1957,2700.0
8,1958,2600.0
8,1959,2700.0
8,1960,2600.0
8,1961,3200.0
8,1962,2800.0
8,1963,3000.0
8,1964,3000.0
8,1965,4000.0
8,1966,4000.0
8,1967,5000.0
8,1968,6000.0
8,1969,7000.0
8,1970,8000.0
8,1971,8000.0
8,1972,8000.0
8,1973,7997.0
8,1974,8455.0
8,1975,8415.0
8,1976,8377.0
8,1977,8336.0
8,1978,8807.0
8,1979,8740.0
8,1980,8661.0
8,1981,8921.0
8,1982,8812.0
8,1983,8653.0
8,1984,6809.0
8,1985,10191.0
8,1986,9757.2
8,1987,10766.4
8,1988,10827.3
8,1989,9357.4
8,1990,10054.6
8,1991,3012.0
8,1992,2696.2
8,1993,2500.0
8,1994,2100.0
8,1995,1380.3
8,1996,2126.2
8,1997,1013.8
8,1998,2683.5
8,1999,2747.9
8,2000,3328.0
8,2001,3311.2
8,2002,3656.8
8,2003,2801.6
8,2004,4549.5
8,2005,5000.0
8,2006,5652.3
8,2007,5413.4
8,2008,5365.0
8,2009,5811.0
8,2010,5132.2
8,2011,4805.2
8,2012,8605.2
8,2013,8973.5
8,2014,8705.5
8,2015,7855.5
8,2016,7861.7
8,2017,8564.2
8,2018,8648.3
12,1950,27300.0
12,1951,23100.0
12,1952,29100.0
12,1953,22798.0
12,1954,20962.0
12,1955,25898.0
12,1956,21956.0
12,1957,21952.0
12,1958,18578.0
12,1959,22100.0
12,1960,25500.0
12,1961,30400.0
12,1962,21500.0
12,1963,16900.0
12,1964,17300.0
12,1965,18300.0
12,1966,20350.0
12,1967,21150.0
12,1968,18250.0
12,1969,23150.0
12,1970,24234.0
12,1971,23715.0
12,1972,28313.0
12,1973,31243.0
12,1974,35758.0
12,1975,37693.0
12,1976,35122.0
12,1977,43475.0
12,1978,34143.0
12,1979,38678.0
12,1980,48000.0
12,1981,56000.0
12,1982,64500.0
12,1983,65000.0
12,1984,65500.9
12,1985,66000.6
12,1986,65261.8
12,1987,94093.8
12,1988,106437.3
12,1989,99187.424
12,1990,90196.244
12,1991,79702.0
12,1992,95273.914
12,1993,101899.971
12,1994,135409.85700000002
12,1995,105878.666
12,1996,81995.8
12,1997,91585.4
12,1998,92337.0
12,1999,102399.0
12,2000,113159.9
12,2001,133628.0
12,2002,134324.8
12,2003,140959.0
12,2004,113464.2
12,2005,126260.3
12,2006,145763.8
12,2007,147363.131
12,2008,138862.43
12,2009,127777.0
12,2010,93464.0
12,2011,101815.0
12,2012,105621.0
12,2013,101057.0
12,2014,97828.0
12,2015,95946.0
12,2016,100179.99999999999
12,2017,104100.0
12,2018,115255.0
16,1950,0.0
16,1951,0.0
16,1952,0.0
16,1953,0.0
16,1954,0.0
16,1955,0.0
16,1956,0.0
16,1957,0.0
16,1958,0.0
16,1959,0.0
16,1960,0.0
16,1961,0.0
16,1962,0.0
16,1963,0.0
16,1964,0.0
16,1965,0.0
16,1966,0.0
16,1967,0.0
16,1968,0.0
16,1969,0.0
16,1970,0.0
16,1971,0.0
16,1972,0.0
16,1973,100.0
16,1974,82.0
16,1975,136.0
16,1976,113.0
16,1977,202.0
16,1978,193.0
16,1979,183.0
16,1980,148.0
16,1981,153.0
16,1982,112.0
16,1983,112.0
16,1984,152.0
16,1985,118.0
16,1986,181.0
16,1987,78.0
16,1988,123.0
16,1989,102.0
16,1990,42.0
16,1991,45.0
16,1992,55.0
16,1993,35.0
16,1994,127.0
16,1995,171.0
16,1996,220.0
16,1997,443.0
16,1998,605.0
16,1999,549.0
16,2000,846.0
16,2001,3667.0
16,2002,6939.0
16,2003,5089.0
16,2004,4041.0
16,2005,4019.0
16,2006,5349.0
16,2007,6519.0
16,2008,4424.0
16,2009,4944.0
16,2010,5310.0
16,2011,4901.0
16,2012,6109.0
16,2013,3273.0
16,2014,2579.0
16,2015,3138.0
16,2016,3181.0
16,2017,4042.0
16,2018,3019.0
20,1970,0.0
20,1971,0.0
20,1972,0.0
20,1973,0.0
20,1974,0.0
20,1975,0.0
20,1976,0.0
20,1977,0.0
20,1978,0.0
20,1979,0.0
20,1980,0.0
20,1981,0.0
20,1982,0.0
20,1983,0.0
20,1984,0.0
20,1985,0.0
20,1986,0.0
20,1987,0.0
20,1988,0.0
20,1989,0.0
20,1990,0.0
20,1991,0.0
20,1992,0.0
20,1993,0.0
20,1994,0.0
20,1995,0.0
20,1996,0.0
20,1997,0.0
20,1998,0.0
20,1999,0.0
20,2000,0.0
20,2001,0.0
20,2002,0.0
20,2003,0.0
20,2004,0.0
20,2005,0.0
20,2006,0.0
20,2007,0.0
20,2008,0.0
20,2009,0.0
20,2010,0.0
20,2011,0.0
20,2012,0.0
20,2013,0.0
20,2014,0.0
20,2015,0.0
20,2016,0.0
20,2017,0.0
20,2018,0.0
24,1950,139200.0
24,1951,183000.0
24,1952,157300.0
24,1953,224400.0
24,1954,265200.0
24,1955,294400.0
24,1956,425500.0
24,1957,400500.0
24,1958,283200.0
24,1959,272700.0
24,1960,257300.0
24,1961,246800.0
24,1962,274800.0
24,1963,245300.0
24,1964,362000.0
24,1965,263300.0
24,1966,335300.0
24,1967,299300.0
24,1968,303100.0
24,1969,425200.0
24,1970,374501.0
24,1971,324322.0
24,1972,606656.0
24,1973,478659.0
24,1974,399784.0
24,1975,160581.0
24,1976,81542.0
24,1977,120407.0
24,1978,125630.0
24,1979,113072.0
24,1980,85085.0
24,1981,130957.0
24,1982,111488.0
24,1983,110376.0
24,1984,95188.0
24,1985,100093.0
24,1986,84660.0
24,1987,107490.0
24,1988,126031.0
24,1989,137465.0
24,1990,133088.0
24,1991,117104.0
24,1992,113625.0
24,1993,126200.0
24,1994,132413.0
24,1995,122781.0
24,1996,137815.0
24,1997,146304.0
24,1998,163149.0
24,1999,175799.0
24,2000,239351.0
24,2001,254553.0
24,2002,255443.0
24,2003,212033.0
24,2004,240002.0
24,2005,202616.0
24,2006,225741.0
24,2007,306436.0
24,2008,305860.0
24,2009,272042.0
24,2010,310000.0
24,2011,342000.0
24,2012,374000.0
24,2013,407000.0
24,2014,442084.0
24,2015,495232.0
24,2016,486490.0
24,2017,531575.0
24,2018,442255.0
28,1950,100.0
28,1951,100.0
28,1952,200.0
28,1953,200.0
28,1954,200.0
28,1955,300.0
28,1956,400.0
28,1957,600.0
28,1958,800.0
28,1959,700.0
28,1960,600.0
28,1961,800.0
28,1962,800.0
28,1963,800.0
28,1964,700.0
28,1965,800.0
28,1966,800.0
28,1967,800.0
28,1968,800.0
28,1969,800.0
28,1970,900.0
28,1971,900.0
28,1972,1200.0
28,1973,1500.0
28,1974,1590.0
28,1975,1601.0
28,1976,1613.0
28,1977,1821.0
28,1978,1620.0
28,1979,1219.0
28,1980,1171.0
28,1981,1157.0
28,1982,950.0
28,1983,1063.0
