id,country,region,year,title,budget,expense,sdg,solution,donors
00045493,Antigua and Barbuda,Caribbean,2012,Sustainable Island Resource Management Mechanism ANB,674048,332281,,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00045493,Antigua and Barbuda,Caribbean,2013,Sustainable Island Resource Management Mechanism ANB,456815,360553,,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00038945,Antigua and Barbuda,Caribbean,2013,Second National Communication ATG,14314,7157,,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00045493,Antigua and Barbuda,Caribbean,2014,Sustainable Island Resource Management Mechanism ANB,130646,130645,,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00083750,Antigua and Barbuda,Caribbean,2014,Supporting Multidimensional Poverty Measurement and Stre,23000,20989,No poverty,Others,UNITED NATIONS DEVELOPMENT PRO
00082564,Antigua and Barbuda,Caribbean,2014,Antigua UNCCD National Action Plan Alignment,75,75,Life on Land,Others,Global Environment Fund Truste
00082564,Antigua and Barbuda,Caribbean,2015,Antigua UNCCD National Action Plan Alignment,136911,134650,Life on Land,Others,Global Environment Fund Truste
00083750,Antigua and Barbuda,Caribbean,2015,Supporting Multidimensional Poverty Measurement and Stre,306,214,No poverty,Others,UNITED NATIONS DEVELOPMENT PRO
00097076,Antigua and Barbuda,Caribbean,2016,Monitoring and Assessment of Multilateral Environmental Agreements implementation and environmental trends in Antigua and Barbuda,5100,5100,Life on Land,Others,Global Environment Fund Truste
00083750,Antigua and Barbuda,Caribbean,2016,Supporting Multidimensional Poverty Measurement and Stre,127,127,No poverty,Others,UNITED NATIONS DEVELOPMENT PRO
00097076,Antigua and Barbuda,Caribbean,2017,Monitoring and Assessment of Multilateral Environmental Agreements implementation and environmental trends in Antigua and Barbuda,44900,44895,Life on Land,Others,Global Environment Fund Truste
00082564,Antigua and Barbuda,Caribbean,2017,Antigua UNCCD National Action Plan Alignment,2260,1079,Life on Land,Others,Global Environment Fund Truste
00111466,Antigua and Barbuda,Caribbean,2018,Antigua and Barbuda recovery efforts: resilient restorat,817563,236325,"Climate action;Industry, innovation and infrastructure",Enhance national prevention and recovery capacities for resilient societies,GOVERNMENT OF INDIA
00099053,Antigua and Barbuda,Caribbean,2018,Monitoring and Assessment of MEAs,239000,52650,Life on Land,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00117863,Antigua and Barbuda,Caribbean,2019,B-Envelope after Irma hurricane. Housing Support to Barb,630534,227864,Climate action;Affordable and clean energy,Keeping people out of poverty,EUROPEAN COMMISSION
00111466,Antigua and Barbuda,Caribbean,2019,Antigua and Barbuda recovery efforts: resilient restorat,446454,473726,"Climate action;Industry, innovation and infrastructure",Enhance national prevention and recovery capacities for resilient societies,GOVERNMENT OF INDIA
00099053,Antigua and Barbuda,Caribbean,2019,Monitoring and Assessment of MEAs,339463,183521,Life on Land,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00117863,Antigua and Barbuda,Caribbean,2020,B-Envelope after Irma hurricane. Housing Support to Barb,5148810,1160706,Climate action;Affordable and clean energy,Keeping people out of poverty,EUROPEAN COMMISSION
00099053,Antigua and Barbuda,Caribbean,2020,Monitoring and Assessment of MEAs,348750,271670,Life on Land,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00111466,Antigua and Barbuda,Caribbean,2020,Antigua and Barbuda recovery efforts: resilient restorat,289949,289949,"Climate action;Industry, innovation and infrastructure",Enhance national prevention and recovery capacities for resilient societies,GOVERNMENT OF INDIA
00117863,Antigua and Barbuda,Caribbean,2021,B-Envelope after Irma hurricane. Housing Support to Barb,3424101,85679,Climate action;Affordable and clean energy,Keeping people out of poverty,EUROPEAN COMMISSION
00099053,Antigua and Barbuda,Caribbean,2021,Monitoring and Assessment of MEAs,370622,0,Life on Land,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00091538,Aruba,Caribbean,2016,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,377693,239873,Climate action;Partnerships for the goals,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00087367,Aruba,Caribbean,2016,Engagement Facility Aruba,83696,49779,"Peace, justice, and strong institutions",Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00091538,Aruba,Caribbean,2017,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,486178,163993,Climate action;Partnerships for the goals,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00087367,Aruba,Caribbean,2017,Engagement Facility Aruba,33000,15669,"Peace, justice, and strong institutions",Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00091538,Aruba,Caribbean,2018,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,467819,328945,Climate action;Partnerships for the goals,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00091538,Aruba,Caribbean,2019,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,155178,135057,Climate action;Partnerships for the goals,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00113359,Aruba,Caribbean,2019,Aruba’s SISSTEM Faculty initiative,111795,41794,Climate action,Others,EUROPEAN COMMISSION
00087367,Aruba,Caribbean,2019,Engagement Facility Aruba,6480,5400,"Peace, justice, and strong institutions",Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00113359,Aruba,Caribbean,2020,Aruba’s SISSTEM Faculty initiative,2230222,562227,Climate action,Others,EUROPEAN COMMISSION
00087367,Aruba,Caribbean,2020,Engagement Facility Aruba,55717,35237,"Peace, justice, and strong institutions",Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00113359,Aruba,Caribbean,2021,Aruba’s SISSTEM Faculty initiative,2570426,46946,Climate action,Others,EUROPEAN COMMISSION
00087367,Aruba,Caribbean,2021,Engagement Facility Aruba,0,8588,"Peace, justice, and strong institutions",Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00059750,Bahrain,AIS,2012,Enhancing Capacity for Global Economic Governance,437540,327661,Reduced inequalities,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00061812,Bahrain,AIS,2012,Capacity Development Facility Established at BIPA,266248,250120,No poverty;Partnerships for the goals,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00049377,Bahrain,AIS,2012,Micro Finance,259334,283523,,Others,Ahli united Bank;GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00066219,Bahrain,AIS,2012,Gender and Economic Policy Management Initiative - Arab,144200,46199,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00050450,Bahrain,AIS,2012,Bahrain UPR implementation,89844,79647,,Others,GOVERNMENT OF BAHRAIN
00057437,Bahrain,AIS,2012,Parliamentary Secretariate Capcity Development,72801,67306,,Others,"COUNCIL OF REPRESENTATIVE;GOVERNMENT OF BAHRAIN;Shura Council ,kingdom Of Bahrain"
00058010,Bahrain,AIS,2012,Women Empowerment Programme,44566,47529,,Others,GOVERNMENT OF BAHRAIN
00058300,Bahrain,AIS,2012,Updating National Youth Strategy & Action Plan,41503,-7005,,Others,General  Organization  for Youth & Sport;GOVERNMENT OF BAHRAIN
00047117,Bahrain,AIS,2012,Phase-out of Ozone Depleting Substance of CFCs (TPMP),40000,33331,,Others,MONTREAL PROTOCOL
00044347,Bahrain,AIS,2012,Drug Control National Strategy for Bahrain,34215,2568,,Others,GOVERNMENT OF BAHRAIN
00060062,Bahrain,AIS,2012,Development of Natl Childhood/Disabilities Strategies,31953,29337,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00044245,Bahrain,AIS,2012,Supporting Governance & Civic Education,15450,10876,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00058375,Bahrain,AIS,2012,Creation of Arab eContent Centre,3047,28643,,Others,GOVERNMENT OF BAHRAIN
00059750,Bahrain,AIS,2013,Enhancing Capacity for Global Economic Governance,555368,366341,Reduced inequalities,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00066219,Bahrain,AIS,2013,Gender and Economic Policy Management Initiative - Arab,448050,48071,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00061812,Bahrain,AIS,2013,Capacity Development Facility Established at BIPA,314176,244345,No poverty;Partnerships for the goals,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00058010,Bahrain,AIS,2013,Women Empowerment Programme,92120,74295,,Others,GOVERNMENT OF BAHRAIN
00049377,Bahrain,AIS,2013,Micro Finance,23445,27,,Others,Ahli united Bank;GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00060062,Bahrain,AIS,2013,Development of Natl Childhood/Disabilities Strategies,15111,7478,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00058300,Bahrain,AIS,2013,Updating National Youth Strategy & Action Plan,100,0,,Others,General  Organization  for Youth & Sport;GOVERNMENT OF BAHRAIN
00044245,Bahrain,AIS,2013,Supporting Governance & Civic Education,0,0,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00066219,Bahrain,AIS,2014,Gender and Economic Policy Management Initiative - Arab,368475,232191,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00061812,Bahrain,AIS,2014,Capacity Development Facility Established at BIPA,300000,207311,No poverty;Partnerships for the goals,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00044245,Bahrain,AIS,2014,Supporting Governance & Civic Education,200000,111343,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00059750,Bahrain,AIS,2014,Enhancing Capacity for Global Economic Governance,165418,179140,Reduced inequalities,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00080256,Bahrain,AIS,2014,Strengthening Capacity of Special Investigation Unit,126884,14129,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00057437,Bahrain,AIS,2014,Parliamentary Secretariate Capcity Development,81883,47694,,Others,"COUNCIL OF REPRESENTATIVE;GOVERNMENT OF BAHRAIN;Shura Council ,kingdom Of Bahrain"
00060062,Bahrain,AIS,2014,Development of Natl Childhood/Disabilities Strategies,30787,6624,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00079015,Bahrain,AIS,2014,UNCT Workplan 2014 & 2015,1600,1354,,Others,GOVERNMENT OF BAHRAIN;UNITED NATIONS DEVELOPMENT PRO
00044245,Bahrain,AIS,2015,Supporting Governance & Civic Education,276621,274513,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00059750,Bahrain,AIS,2015,Enhancing Capacity for Global Economic Governance,261053,281054,Reduced inequalities,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00079213,Bahrain,AIS,2015,Bahrain Unit for Sustainable Energy,222654,99600,"No poverty;Sustainable cities and communities;Affordable and clean energy;Industry, innovation and infrastructure",Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00061812,Bahrain,AIS,2015,Capacity Development Facility Established at BIPA,156791,147503,No poverty;Partnerships for the goals,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00060062,Bahrain,AIS,2015,Development of Natl Childhood/Disabilities Strategies,122735,105992,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00079015,Bahrain,AIS,2015,UNCT Workplan 2014 & 2015,119363,75245,,Others,GOVERNMENT OF BAHRAIN;UNITED NATIONS DEVELOPMENT PRO
00080256,Bahrain,AIS,2015,Strengthening Capacity of Special Investigation Unit,108851,64831,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00066219,Bahrain,AIS,2015,Gender and Economic Policy Management Initiative - Arab,101890,100700,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00057437,Bahrain,AIS,2015,Parliamentary Secretariate Capcity Development,62463,60545,,Others,"COUNCIL OF REPRESENTATIVE;GOVERNMENT OF BAHRAIN;Shura Council ,kingdom Of Bahrain"
00079213,Bahrain,AIS,2016,Bahrain Unit for Sustainable Energy,336845,378860,"No poverty;Sustainable cities and communities;Affordable and clean energy;Industry, innovation and infrastructure",Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
