RegionYear,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
Global2012,54276711,3350878,20777889,412493,2538244,12265.00001,13447936,553718,270750,3367330,456736,850774,39070477,566035,8825866,54915616,5730979
Global2013,29277222,4178193,25279148,634279,3162703,583530,7492778,1141640,1047387,4327773,260601,2324909,37257999,1329787,12300227,31115081,4637792
Global2014,49719246,4486855,29291513,10893546,7688216,1447180,9216193,2028256,6739000,4782191,451201,7557193,51502978,2691003,13874135,44177547,6323990
Global2015,54426309,8746090,27620599,9781552,48242908,3320362,4737122,2782748,1982247,7682471,650460.0001,4968546,51343634,4704197,16961471,72967995,7112628
Global2016,67987176,11213940,27978704,10158887,23858867,2608314,5799954,4599838,3084838,8805492,2560098,3337010,58510554,10139755,24690394,51332945,9248598
Global2017,87338351,15900553,29937618,11248488,22050738,2373646,5838195,3477577,3717630,8518009,10559377,4911947,65861354,13838346,30197890,58489565,12176100
Global2018,85334727,14263691,19602913,8474764,10695470,1263840,13274217,2832288,7092777,8050991,15782206,9349270,73969947,18034245,31120383,54110452,12648027
Global2019,81980852,6867738,25140707,13615253,9326604,1071362,18414271,3810435,9532281,8167300,19384657,15837184,72337511,20057852,31815045,68059744,15951665
Global2020,106831971,3820559,33747492,31173518,14999939,6298655,22088851,3698013,15681893,11681949,29232960,14165479,93407857,17624646,25720456,70916783,19902049
Global2021,10806561,782911.0001,2252879,912590.0002,1043916,505686,828175.0003,537993.0002,685465.0003,535848.0002,2123864,1149156,10628899,2034739,2554800.001,5484359.001,1629728.001
Global2012to2021,627979126,73611408,241629462,97305370,143607605,19484840,101137692,25462506,49834268,65919354,81462160,64451468,553891210,91020605,198060667,511570087,95361556
Pacific2012,4033073,0,263376,0,1182650,0,617855,0,0,276459,0,0,8286675,511904,1821162,16050816,672007
Pacific2013,4840836,0,777347,0,893488,0,318993,0,0,89.00001,0,0,12051539,1125356,1217745,12415152,652848.0001
Pacific2014,7333981,0,1810399,0,2375345,0,549892,0,0,89.00001,0,0,15272092,2433980,2672988,16993200,1061267
Pacific2015,10205646,0,2268179,0,3031452,0,211232,17888.00001,0,89.00001,0,0,15606614,2380813,3598621,13375136,1741624
Pacific2016,12007367,0,1341383,0,5240486,0,1212384,513989,118605,89.00001,0,0,21254578,5222096,9700781,12768970,1216815
Pacific2017,15867912,0,2284034,0,7494775,0,1875747,214642,105026,1366.00001,0,0,26393108,6070178,10581246,14299912,973635.0001
Pacific2018,13828455,0,1465582,0,3423748,0,4698970,251156,77041.00001,0,0,0,27269241,8388571,12231600,15136826,2507100
Pacific2019,8641989,0,1378390,0,2354400,0,7837250,169872,340164,0,0,28186.00001,19954936,8675881,12482945,19300555,1791250
Pacific2020,11093216,0,7108772,0,1525128,0,3908067,61468.00001,419480,0,5763766,0,19095856,7142948,8274758,20266700,904417.0001
Pacific2021,929745.0001,0,494822,0,61795.00007,0,256253.0001,0,19304.00002,0,451729,0,1465835,585955.0001,217757.0001,1908104,106812.0001
Pacific2012to2021,88782220,0,19192284,0,27583267,0,21486643,1224947,1079620,278181.0001,6215495,28186.00001,166650474,42537682,62799603,142515371,11627775
AIS2012,7295750,0,131531,0,1355594,12265.00001,1159695,29337.00001,270750,513514,419029,845863,3741312,0,3995347,10293484,2201451
AIS2013,8733100,0,407746,0,2241603,583530,1621825,7478.00001,1004788,858829.0001,220758,2129440,4763867,0,3656160,6724856,2424148
AIS2014,10772488,836081,461431,0,2488091,1447180,3643029,6624.00001,6477713,966535.0001,377205,7123357,14628543,14990.00002,4441169,11473271,2266354
AIS2015,10823770,2866441,2144826,0,5271492,3320362,1685649,105992,1113097,2093930,614472,3021131,14061627,479370,4680143,5741695,2389499
AIS2016,13734251,2771802,9464781,0,1754236,2608314,2785632,135109,2286531,3007139,1228889,1155059,14087198,1610843,4903697,6831224,2653809
AIS2017,16605079,3268171,16152097,0,1725358,2373646,1871795,47118.00003,1853725,4085447,1861007,817820.0001,12850109,2815693,6408448,8057345,3915499
AIS2018,18753441,1733286,9739163,31538.00001,2152907,1114388,4937153,300046,4619072,4888728,5329907,5603348,16253277,3107274,5792329,15425342,4788899
AIS2019,22332038,1168085,13185238,4123.00001,2395884,757708.0001,5831077,81804.00005,4267203,4020807,10854491,10882158,24000379,3496630,4496516,16071036,5999541
AIS2020,32239375,765030,16782105,29.00001,7542040,5795783,9882420,281119,11051272,3577525,12599886,10230241,31342063,2741911,4446341,12781610,7586881
AIS2021,1874530,8232.00002,1055108,0.00001,408121.0001,493827,0,46481.00004,397297.0001,302764.0001,667046.0001,606313.0001,1443548,265792.0001,487586.0001,511358.0002,660647.0002
