Field_Name,Description,Temporal,Band,Name,Unit,Desc_long,Source_Name,Source_Link
1a1,GDP PPP 30 arcsec,1990,1,GDP per Capita,USD per Capita,GDP (PPP) represents total gross domestic production in a given grid cell in constant 2011 international US dollars. ,Kummu et al. (2018),https://www.nature.com/articles/sdata20184
1a2,GDP PPP 30 arcsec,2000,2,GDP per Capita,USD per Capita,GDP (PPP) represents total gross domestic production in a given grid cell in constant 2011 international US dollars. ,Kummu et al. (2018),https://www.nature.com/articles/sdata20184
1a3,GDP PPP 30 arcsec,2015,3,GDP per Capita,USD per Capita,GDP (PPP) represents total gross domestic production in a given grid cell in constant 2011 international US dollars. ,Kummu et al. (2018),https://www.nature.com/articles/sdata20184
1b1,Accessibility to Cities,,1,Accessibilty to Cities,Minutes,"Global accessibility to high-density urban centres at a resolution of 1×1 kilometre for 2015, as measured by travel time. ",Weiss et. al (2018),https://malariaatlas.org/research-project/accessibility-to-cities/
1b2,Friction Surface,,2,Travel Friction Surface,Minutes per Meter Traveled,"Friction surface used to map global accessibility to high-density urban centres at a resolution of 1×1 kilometre for 2015, as measured by travel time.",Weiss et. al (2018),https://malariaatlas.org/research-project/accessibility-to-cities/
1c1,Population Density,2000,1,Population Density,Population per km2,"The Gridded Population of the World, Version 4 (GPWv4) consists of estimates of human population (number of persons per pixel) consistent with national censuses and population registers with respect to relative spatial distribution. ","CIESIN, Columbia University (2018)",https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev11
1c2,Population Density,2005,2,Population Density,Population per km2,"The Gridded Population of the World, Version 4 (GPWv4) consists of estimates of human population (number of persons per pixel) consistent with national censuses and population registers with respect to relative spatial distribution. ","CIESIN, Columbia University (2018)",https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev11
1c3,Population Density,2010,3,Population Density,Population per km2,"The Gridded Population of the World, Version 4 (GPWv4) consists of estimates of human population (number of persons per pixel) consistent with national censuses and population registers with respect to relative spatial distribution. ","CIESIN, Columbia University (2018)",https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev11
1c4,Population Density,2015,4,Population Density,Population per km2,"The Gridded Population of the World, Version 4 (GPWv4) consists of estimates of human population (number of persons per pixel) consistent with national censuses and population registers with respect to relative spatial distribution. ","CIESIN, Columbia University (2018)",https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev11
1c5,Population Density,2020,5,Population Density,Population per km2,"The Gridded Population of the World, Version 4 (GPWv4) consists of estimates of human population (number of persons per pixel) consistent with national censuses and population registers with respect to relative spatial distribution. ","CIESIN, Columbia University (2018)",https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev11
2a1,food insecurity hotspots - duration - crisis,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a4,food insecurity hotspots - duration - minimal,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a5,food insecurity hotspots - duration - stressed,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a6,food insecurity hotspots - frequency - crisis,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a7,food insecurity hotspots - frequency - emergency,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a8,food insecurity hotspots - frequency - famine,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a9,food insecurity hotspots - frequency - minimal,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a10,food insecurity hotspots - frequency - stressed,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a11,food insecurity hotspots - standarddeviation,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
2a12,food insecurity hotspots - average,,1,Food Insecurity,,,"CIESIN, Columbia University (2020)",https://sedac.ciesin.columbia.edu/data/set/food-food-insecurity-hotspots
6c1,Domestic Water Use (Consumed),,1,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437035
6c2,Domestic Water Use (Withdrawn),,2,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437036
6c3,Electricity Water Use (Consumed),,3,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437037
6c4,Electricity Water Use (Consumed),,4,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437038
6c5,Irrigation Water Use (Consumed) - model h08,,1,Water Use,km3 yr-1,,Huang et al. (2018),https://www.osti.gov/biblio/1437039
6c6,Irrigation Water Use (Consumed) - model jpjml,,1,Water Use,km3 yr-1,,Huang et al. (2018),https://www.osti.gov/biblio/1437040
